wl,Au_n,Au_k,Ag_n,Ag_k,Cu_n,Cu_k
0.1879,1.28,1.188,1.07,1.212,0.94,1.337
0.1916,1.32,1.203,1.1,1.232,0.95,1.388
0.1953,1.34,1.226,1.12,1.255,0.97,1.44
0.1993,1.33,1.251,1.14,1.277,0.98,1.493
0.2033,1.33,1.277,1.15,1.296,0.99,1.55
0.2073,1.3,1.304,1.18,1.312,1.01,1.599
0.2119,1.3,1.35,1.2,1.325,1.04,1.651
0.2164,1.3,1.387,1.22,1.336,1.08,1.699
0.2214,1.3,1.427,1.25,1.342,1.13,1.737
0.2262,1.31,1.46,1.26,1.344,1.18,1.768
0.2313,1.3,1.497,1.28,1.357,1.23,1.792
0.2371,1.32,1.536,1.28,1.367,1.28,1.802
0.2426,1.32,1.577,1.3,1.378,1.34,1.799
0.249,1.33,1.631,1.31,1.389,1.37,1.783
0.2551,1.33,1.688,1.33,1.393,1.41,1.741
0.2616,1.35,1.749,1.35,1.387,1.41,1.691
0.2689,1.38,1.803,1.38,1.372,1.45,1.668
0.2761,1.43,1.847,1.41,1.331,1.46,1.646
0.2844,1.47,1.869,1.41,1.264,1.45,1.633
0.2924,1.49,1.878,1.39,1.161,1.42,1.633
0.3009,1.53,1.889,1.34,0.964,1.4,1.679
0.3107,1.53,1.893,1.13,0.616,1.38,1.729
0.3204,1.54,1.898,0.81,0.392,1.38,1.783
0.3315,1.48,1.883,0.17,0.829,1.34,1.821
0.3425,1.48,1.871,0.14,1.142,1.36,1.864
0.3542,1.5,1.866,0.1,1.419,1.37,1.916
0.3679,1.48,1.895,0.07,1.657,1.36,1.975
0.3815,1.46,1.933,0.05,1.864,1.33,2.045
0.3974,1.47,1.952,0.05,2.07,1.32,2.116
0.4133,1.46,1.958,0.05,2.275,1.28,2.207
0.4305,1.45,1.948,0.04,2.462,1.25,2.305
0.4509,1.38,1.914,0.04,2.657,1.24,2.397
0.4714,1.31,1.849,0.05,2.869,1.25,2.483
0.4959,1.04,1.833,0.05,3.093,1.22,2.564
0.5209,0.62,2.081,0.05,3.324,1.18,2.608
0.5486,0.43,2.455,0.06,3.586,1.02,2.577
0.5821,0.29,2.863,0.05,3.858,0.7,2.704
0.6168,0.21,3.272,0.06,4.152,0.3,3.205
0.6595,0.14,3.697,0.05,4.483,0.22,3.747
0.7045,0.13,4.103,0.04,4.838,0.21,4.205
0.756,0.14,4.542,0.03,5.242,0.24,4.665
0.8211,0.16,5.083,0.04,5.727,0.26,5.18
0.892,0.17,5.663,0.04,6.312,0.3,5.768
0.984,0.22,6.35,0.04,6.992,0.32,6.421
1.088,0.27,7.15,0.04,7.795,0.36,7.217
1.216,0.35,8.145,0.09,8.828,0.48,8.245
1.393,0.43,9.519,0.13,10.1,0.6,9.439
1.61,0.56,11.21,0.15,11.85,0.76,11.12
1.937,0.92,13.78,0.24,14.08,1.09,13.43
